Date,Open,High,Low,Close,Adj Close,Volume
2022-06-09,0.641649,0.655216,0.627746,0.632920,0.632920,1166081755
2022-06-10,0.632863,0.635083,0.573932,0.574216,0.574216,1170021356
2022-06-11,0.574268,0.613661,0.546497,0.552777,0.552777,1232257018
2022-06-12,0.552977,0.559930,0.496861,0.496861,0.496861,1474640183
2022-06-13,0.496100,0.496463,0.439206,0.463133,0.463133,2551895485
2022-06-14,0.463251,0.517403,0.438537,0.484386,0.484386,2241209963
2022-06-15,0.484160,0.536792,0.450104,0.533296,0.533296,2335125416
2022-06-16,0.533529,0.544017,0.469018,0.475022,0.475022,1226235066
2022-06-17,0.475183,0.502739,0.473478,0.487392,0.487392,872710309
2022-06-18,0.487367,0.494669,0.423419,0.456182,0.456182,1214101657
2022-06-19,0.455970,0.487226,0.437213,0.484364,0.484364,1050008285
2022-06-20,0.484403,0.507965,0.462886,0.492261,0.492261,1096263588
2022-06-21,0.492270,0.509728,0.477318,0.479204,0.479204,1018828248
2022-06-22,0.479506,0.480996,0.457943,0.458568,0.458568,818977392
2022-06-23,0.458652,0.482221,0.458040,0.480292,0.480292,711554788
2022-06-24,0.480199,0.508816,0.477045,0.499224,0.499224,945924412
2022-06-25,0.499233,0.506943,0.479517,0.498946,0.498946,649820170
2022-06-26,0.498876,0.524037,0.489426,0.489653,0.489653,842528877
2022-06-27,0.489558,0.507615,0.478620,0.485790,0.485790,709992597
2022-06-28,0.485571,0.496544,0.468228,0.469671,0.469671,724759074
2022-06-29,0.469673,0.475916,0.460463,0.465509,0.465509,769352065
2022-06-30,0.465602,0.466736,0.436185,0.458849,0.458849,903962268
2022-07-01,0.459312,0.470312,0.444410,0.448089,0.448089,796619668
2022-07-02,0.448180,0.460592,0.442332,0.456351,0.456351,494852064
2022-07-03,0.456321,0.458882,0.444546,0.455587,0.455587,439469536
2022-07-04,0.455612,0.473209,0.445301,0.469644,0.469644,808524892
2022-07-05,0.469569,0.470673,0.445440,0.457632,0.457632,766706338
2022-07-06,0.457668,0.464291,0.449115,0.462179,0.462179,622551308
2022-07-07,0.462210,0.481945,0.461557,0.477812,0.477812,619107061
2022-07-08,0.477817,0.490917,0.461916,0.467311,0.467311,827327238
2022-07-09,0.467290,0.484265,0.466491,0.478760,0.478760,666827059
2022-07-10,0.478771,0.479429,0.457067,0.463220,0.463220,612314122
2022-07-11,0.463181,0.463181,0.433865,0.435520,0.435520,737643033
2022-07-12,0.435581,0.440906,0.417435,0.417928,0.417928,707915451
2022-07-13,0.417881,0.439730,0.406437,0.438108,0.438108,977278539
2022-07-14,0.438057,0.444419,0.417741,0.441025,0.441025,861474952
2022-07-15,0.441115,0.451560,0.433968,0.442456,0.442456,739541229
2022-07-16,0.442445,0.457927,0.432458,0.457230,0.457230,653009372
2022-07-17,0.457318,0.465061,0.443790,0.447353,0.447353,695937971
2022-07-18,0.447415,0.497246,0.446383,0.492543,0.492543,1514608156
2022-07-19,0.492078,0.524594,0.474607,0.515768,0.515768,1558576681
2022-07-20,0.515801,0.546000,0.489268,0.491043,0.491043,1559480054
2022-07-21,0.491071,0.501448,0.477235,0.500098,0.500098,929201777
2022-07-22,0.500091,0.510643,0.478904,0.483946,0.483946,783147406
2022-07-23,0.483727,0.517532,0.475516,0.517368,0.517368,837188756
2022-07-24,0.517360,0.534074,0.510632,0.513814,0.513814,910596091
2022-07-25,0.513763,0.514812,0.476237,0.476250,0.476250,747132740
2022-07-26,0.476298,0.476604,0.452105,0.467607,0.467607,753266177
2022-07-27,0.467713,0.510553,0.459825,0.510553,0.510553,1108377917
2022-07-28,0.510580,0.522948,0.492112,0.513328,0.513328,1404871202
2022-07-29,0.513228,0.544084,0.508333,0.523335,0.523335,1601170272
2022-07-30,0.523219,0.551218,0.511981,0.525576,0.525576,1247885850
2022-07-31,0.525593,0.542536,0.514951,0.517020,0.517020,875157898
2022-08-01,0.517051,0.525733,0.502531,0.514123,0.514123,647889797
2022-08-02,0.513907,0.514610,0.490221,0.496833,0.496833,709947033
2022-08-03,0.496866,0.515743,0.490236,0.500988,0.500988,553477710
2022-08-04,0.500975,0.510420,0.494889,0.499668,0.499668,499753654
2022-08-05,0.499582,0.518427,0.499514,0.517503,0.517503,536832135
2022-08-06,0.517564,0.521468,0.511206,0.511256,0.511256,370884770
2022-08-07,0.511372,0.536664,0.507668,0.527470,0.527470,495713645
2022-08-08,0.527488,0.548407,0.523633,0.536596,0.536596,782794306
2022-08-09,0.536656,0.537085,0.507641,0.514052,0.514052,636681258
2022-08-10,0.513992,0.537886,0.504061,0.537093,0.537093,816259967
2022-08-11,0.537104,0.546598,0.529891,0.531258,0.531258,819277170
2022-08-12,0.531195,0.541442,0.522035,0.540753,0.540753,538287825
2022-08-13,0.540708,0.566392,0.538688,0.559813,0.559813,930190208
2022-08-14,0.559819,0.593898,0.557554,0.570343,0.570343,1180283864
2022-08-15,0.570386,0.581010,0.545605,0.551171,0.551171,876107175
